concentration_ppm
0.0672
0.10780000000000001
0.0561
0.0814
0.0719
0.0426
0.0626
0.0862
0.0597
0.045
0.0803
0.0557
0.0653
0.0428
0.0964
0.0621
0.0617
0.0627
0.0437
0.0531
0.0939
0.095
0.055
0.0544
0.0842
0.0707
0.0775
0.0506
0.0685
0.0816
0.0541
0.0622
0.0961
0.0779
0.0831
0.0715
0.0578
0.0848
0.0512
0.0418
0.0693
0.0772
0.1312
0.0462
0.0561
0.0906
0.0442
0.0993
0.0769
0.0823
0.0763
0.0844
0.0578
0.1029
0.0703
0.0476
0.0503
0.0726
0.088
0.0601
0.068
0.0546
0.052
0.0421
0.0397
0.0438
0.0562
0.0731
0.0497
0.0902
0.0393
0.0353
0.0417
0.0535
